method,r@1,r@5,r@10,ndcg@1,ndcg@5,ndcg@10,count
L16_normpre_r80_weighted,19.1078,38.2123,47.9999,0.395859,0.408467,0.433277,14514
L16_normpre_r90_trad,19.0346,38.1971,47.7717,0.394585,0.407154,0.431134,14514
L16_normpre_r90_weighted,19.1113,38.2305,47.9405,0.396479,0.40852,0.432957,14514
L16_normpost_r10_trad,10.4918,24.42,31.7736,0.227298,0.251938,0.271804,14514
L16_normpost_r10_weighted,11.6721,26.2722,34.0995,0.250792,0.273788,0.294903,14514
L16_normpost_r20_trad,15.6746,32.7466,41.5424,0.329785,0.346269,0.368985,14514
L16_normpost_r20_weighted,16.9808,35.0135,44.2693,0.355863,0.371817,0.395244,14514
L16_normpost_r30_trad,17.6637,35.624,44.8635,0.367473,0.379076,0.402702,14514
L16_normpost_r30_weighted,18.4975,37.1495,46.8108,0.384525,0.3962,0.420948,14514
L16_normpost_r40_trad,18.3685,36.6201,45.8307,0.380495,0.391185,0.414314,14514
L16_normpost_r40_weighted,19.0536,38.0017,47.382,0.394412,0.405936,0.429187,14514
L16_normpost_r50_trad,18.6736,37.2779,46.7286,0.38766,0.397549,0.421658,14514
L16_normpost_r50_weighted,19.0921,38.2156,47.8537,0.395411,0.407843,0.432056,14514
L16_normpost_r60_trad,18.8778,37.6763,47.0811,0.389762,0.40178,0.425536,14514
L16_normpost_r60_weighted,19.1049,38.2818,47.9661,0.396273,0.409006,0.433062,14514
L16_normpost_r70_trad,18.9781,37.998,47.3648,0.39238,0.405269,0.428373,14514
L16_normpost_r70_weighted,19.1609,38.3769,48.0196,0.396479,0.409522,0.433843,14514
L16_normpost_r80_trad,18.9567,38.1498,47.561,0.393827,0.406631,0.429741,14514
L16_normpost_r80_weighted,19.1352,38.2568,48.0159,0.396548,0.408875,0.433568,14514
L16_normpost_r90_trad,19.0346,38.1971,47.77,0.394585,0.40715,0.431119,14514
L16_normpost_r90_weighted,19.1213,38.2314,47.9357,0.396652,0.408611,0.43304,14514
L32_normpre_r10_trad,11.2379,25.9236,33.4283,0.243937,0.268034,0.288226,14514
L32_normpre_r10_weighted,12.5042,27.9363,36.0464,0.267604,0.29074,0.313053,14514
L32_normpre_r20_trad,16.0093,33.0442,41.9691,0.336468,0.350842,0.373974,14514
L32_normpre_r20_weighted,17.3263,35.4536,44.7537,0.36265,0.376422,0.400063,14514
L32_normpre_r30_trad,17.7069,35.8119,45.0004,0.369436,0.380786,0.404342,14514
L32_normpre_r30_weighted,18.534,37.2089,46.8869,0.38456,0.397153,0.422051,14514
L32_normpre_r40_trad,18.348,36.6908,46.0061,0.381149,0.391869,0.415422,14514
L32_normpre_r40_weighted,18.9891,37.963,47.4094,0.392621,0.405262,0.428971,14514
L32_normpre_r50_trad,18.5846,37.3123,46.8159,0.385662,0.397502,0.421712,14514
L32_normpre_r50_weighted,19.1099,38.2265,47.8613,0.394895,0.407932,0.431959,14514
L32_normpre_r60_trad,18.8712,37.8393,47.2073,0.389555,0.402687,0.426103,14514
L32_normpre_r60_weighted,19.097,38.2075,47.9375,0.39579,0.408311,0.432595,14514
